,DATE,TEAM-A,RESULT,TEAM-B
443,05-10-2024,Real Madrid,2 - 0,Villarreal
444,29-09-2024,Ath Madrid,1 - 1,Real Madrid
445,14-09-2024,Sociedad,0 - 2,Real Madrid
446,01-09-2024,Real Madrid,2 - 0,Betis
447,29-08-2024,Las Palmas,1 - 1,Real Madrid
448,18-08-2024,Mallorca,1 - 1,Real Madrid
449,25-05-2025,Villarreal,4 - 2,Sevilla
450,18-05-2025,Sevilla,0 - 2,Real Madrid
451,13-05-2025,Sevilla,1 - 0,Las Palmas
452,10-05-2025,Celta,3 - 2,Sevilla
453,04-05-2025,Sevilla,2 - 2,Leganes
454,24-04-2025,Osasuna,1 - 0,Sevilla
455,20-04-2025,Sevilla,1 - 1,Alaves
456,11-04-2025,Valencia,1 - 0,Sevilla
457,06-04-2025,Sevilla,1 - 2,Ath Madrid
458,30-03-2025,Betis,2 - 1,Sevilla
459,16-03-2025,Sevilla,0 - 1,Ath Bilbao
460,09-03-2025,Sociedad,0 - 1,Sevilla
461,01-03-2025,Vallecano,1 - 1,Sevilla
462,24-02-2025,Sevilla,1 - 1,Mallorca
463,09-02-2025,Sevilla,1 - 4,FC Barcelona
464,01-02-2025,Getafe,0 - 0,Sevilla
465,25-01-2025,Sevilla,1 - 1,Espanol
466,18-01-2025,Girona,1 - 2,Sevilla
467,11-01-2025,Sevilla,1 - 1,Valencia
468,22-12-2024,Real Madrid,4 - 2,Sevilla
469,14-12-2024,Sevilla,1 - 0,Celta
470,02-12-2024,Sevilla,1 - 1,Osasuna
471,24-11-2024,Sevilla,1 - 0,Vallecano
472,09-11-2024,Leganes,1 - 0,Sevilla
473,03-11-2024,Sevilla,0 - 2,Sociedad
474,25-10-2024,Espanol,0 - 2,Sevilla
475,20-10-2024,FC Barcelona,5 - 1,Sevilla
476,06-10-2024,Sevilla,1 - 0,Betis
477,29-09-2024,Ath Bilbao,1 - 1,Sevilla
478,24-09-2024,Sevilla,2 - 1,Valladolid
479,20-09-2024,Alaves,2 - 1,Sevilla
480,14-09-2024,Sevilla,1 - 0,Getafe
481,01-09-2024,Sevilla,0 - 2,Girona
482,27-08-2024,Mallorca,0 - 0,Sevilla
483,23-08-2024,Sevilla,1 - 2,Villarreal
484,16-08-2024,Las Palmas,2 - 2,Sevilla
485,24-05-2025,Real Madrid,2 - 0,Sociedad
486,13-05-2025,Sociedad,0 - 1,Celta
487,10-05-2025,Ath Madrid,4 - 0,Sociedad
488,04-05-2025,Sociedad,0 - 0,Ath Bilbao
489,23-04-2025,Alaves,1 - 0,Sociedad
490,20-04-2025,Villarreal,2 - 2,Sociedad
491,12-04-2025,Sociedad,0 - 2,Mallorca
492,29-03-2025,Sociedad,2 - 1,Valladolid
493,16-03-2025,Vallecano,2 - 2,Sociedad
494,09-03-2025,Sociedad,0 - 1,Sevilla
495,02-03-2025,FC Barcelona,4 - 0,Sociedad
496,16-02-2025,Betis,3 - 0,Sociedad
497,09-02-2025,Sociedad,2 - 1,Espanol
498,02-02-2025,Osasuna,2 - 1,Sociedad
499,26-01-2025,Sociedad,0 - 3,Getafe
500,19-01-2025,Valencia,1 - 0,Sociedad
501,13-01-2025,Sociedad,1 - 0,Villarreal
502,21-12-2024,Celta,2 - 0,Sociedad
503,15-12-2024,Sociedad,0 - 0,Las Palmas
504,01-12-2024,Sociedad,2 - 0,Betis
505,24-11-2024,Ath Bilbao,1 - 0,Sociedad
506,10-11-2024,Sociedad,1 - 0,FC Barcelona
